customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5600-PDUJF,Male,False,False,False,6,True,False,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.5,312.7,No
8292-TYSPY,Male,False,False,False,19,True,False,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.0,1046.5,Yes
0567-XRHCU,Female,False,True,True,69,False,False,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),43.95,2960.1,No
1867-BDVFH,Male,False,True,True,11,True,True,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,834.2,Yes
2067-QYTCF,Female,False,True,False,64,True,True,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.15,6953.4,No
2359-QWQUL,Female,False,True,False,39,True,False,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.7,4134.85,Yes
9103-TCIHJ,Female,False,False,False,15,True,True,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.7,899.8,Yes
7407-SUJIZ,Male,False,False,False,25,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,541.5,No
9150-KPBJQ,Female,False,False,False,6,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Two year,No,Credit card (automatic),19.65,116.85,No
0052-DCKON,Male,False,True,False,66,True,True,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,No
3654-ARMGP,Female,False,False,False,61,True,True,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.65,5321.25,No
9699-UBQFS,Female,True,True,False,43,True,True,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.5,4156.8,No
9367-TCUYN,Female,False,False,False,12,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Month-to-month,No,Mailed check,20.1,223.6,No
1261-FWTTE,Male,True,False,False,23,False,False,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.65,768.45,No
3528-HFRIQ,Male,True,True,False,71,False,False,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.3,3765.05,No
0708-SJDIS,Female,False,False,False,34,True,True,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,65.0,2157.5,No
4140-WJAWW,Female,False,False,False,5,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.85,108.05,Yes
2073-QBVBI,Female,False,True,False,41,False,False,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,35.45,1391.65,No
6928-ONTRW,Female,False,True,True,72,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1379.8,No
3320-VEOYC,Male,True,False,False,14,True,True,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,1273.3,No
5231-FIQPA,Female,False,False,False,41,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Two year,Yes,Mailed check,19.85,810.45,No
6617-WLBQC,Female,False,True,True,23,True,True,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),81.85,1810.85,No
2599-CIPQE,Male,False,True,True,71,True,False,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),109.3,7782.85,No
6653-CBBOM,Female,False,False,False,1,True,False,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,Yes
8774-GSBUN,Male,False,True,False,72,True,True,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,Two year,No,Mailed check,25.4,1797.1,No
7326-RIGQZ,Male,False,True,True,6,True,False,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,377.85,No
1401-FTHFQ,Male,False,True,True,23,True,False,No,No Internet,No Internet,No internet service,No internet,No internet service,No internet service,One year,Yes,Credit card (automatic),20.0,445.3,No
3247-ZVOUO,Male,True,True,False,10,True,True,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.55,851.75,Yes
0254-FNMCI,Female,False,False,False,72,True,False,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.9,7624.2,No
1848-LBZHY,Female,False,True,False,7,True,False,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.3,355.1,No
6101-IMRMM,Male,False,False,True,6,True,False,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,94.5,575.45,Yes
